datetime,CHW,MTHW,CHW_on,MTHW_on,simul
2023-04-10 08:00:00,1100.08,806.75,True,True,True
2023-04-11 09:00:00,826.61,702.71,True,True,True
2023-04-12 02:00:00,1552.29,735.81,True,True,True
2023-04-12 05:00:00,1379.23,786.72,True,True,True
2023-04-12 06:00:00,1374.04,791.36,True,True,True
2023-04-12 07:00:00,1113.55,840.36,True,True,True
2023-04-12 08:00:00,1303.88,701.5,True,True,True
2023-04-13 03:00:00,1150.23,715.7,True,True,True
2023-04-13 04:00:00,1454.18,712.83,True,True,True
2023-04-13 05:00:00,1094.92,707.01,True,True,True
2023-04-13 06:00:00,900.17,737.65,True,True,True
2023-04-14 03:00:00,1307.16,721.76,True,True,True
2023-04-14 04:00:00,1291.74,704.02,True,True,True
2023-04-15 07:00:00,2190.93,861.38,True,True,True
2023-04-15 08:00:00,1576.13,762.45,True,True,True
2023-04-16 06:00:00,1519.22,771.59,True,True,True
2023-04-16 07:00:00,1411.91,881.5,True,True,True
2023-04-16 08:00:00,1539.25,781.98,True,True,True
2023-04-17 02:00:00,1046.77,776.28,True,True,True
2023-04-17 03:00:00,962.65,905.2,True,True,True
2023-04-17 04:00:00,983.37,805.59,True,True,True
2023-04-17 08:00:00,901.93,776.12,True,True,True
2023-04-17 09:00:00,706.79,711.36,True,True,True
2023-04-17 22:00:00,1036.1,709.15,True,True,True
2023-04-18 00:00:00,1006.65,719.96,True,True,True
2023-04-18 02:00:00,857.07,827.58,True,True,True
2023-04-18 03:00:00,850.11,984.51,True,True,True
2023-04-18 08:00:00,815.25,780.31,True,True,True
2023-04-18 09:00:00,939.34,727.9,True,True,True
2023-04-19 02:00:00,1134.35,737.81,True,True,True
2023-04-20 03:00:00,916.15,844.87,True,True,True
2023-04-20 04:00:00,802.42,774.11,True,True,True
2023-04-21 07:00:00,1200.43,730.22,True,True,True
2023-04-22 07:00:00,1338.1,781.03,True,True,True
2023-04-22 08:00:00,1314.22,747.65,True,True,True
2023-04-22 23:00:00,879.78,704.41,True,True,True
2023-04-23 08:00:00,914.8,923.75,True,True,True
2023-04-28 02:00:00,1366.17,796.54,True,True,True
2023-04-28 03:00:00,1272.52,985.66,True,True,True
2023-04-28 04:00:00,1213.21,894.47,True,True,True
2023-04-28 05:00:00,1225.93,732.21,True,True,True
2023-04-28 06:00:00,1140.27,746.29,True,True,True
2023-04-28 07:00:00,1217.22,716.93,True,True,True
2023-04-28 08:00:00,1352.03,722.41,True,True,True
2023-04-28 09:00:00,1612.66,729.46,True,True,True
2023-04-28 10:00:00,1353.83,706.8,True,True,True
2023-04-28 21:00:00,880.46,707.2,True,True,True
2023-04-28 22:00:00,832.62,844.43,True,True,True
2023-04-28 23:00:00,906.44,714.99,True,True,True
2023-04-29 00:00:00,786.03,718.32,True,True,True
2023-04-29 01:00:00,793.36,744.57,True,True,True
2023-04-29 02:00:00,914.02,729.55,True,True,True
2023-04-29 03:00:00,774.63,751.27,True,True,True
2023-04-29 04:00:00,724.32,766.03,True,True,True
2023-04-29 05:00:00,762.22,799.32,True,True,True
2023-04-29 06:00:00,723.78,1090.33,True,True,True
2023-04-29 07:00:00,1117.53,1071.27,True,True,True
2023-04-29 08:00:00,724.88,1001.84,True,True,True
2023-04-29 09:00:00,861.81,730.45,True,True,True
2023-04-29 10:00:00,1048.21,700.24,True,True,True
2023-04-29 15:00:00,1723.64,1090.21,True,True,True
2023-04-30 06:00:00,2256.2,764.18,True,True,True
2023-04-30 07:00:00,2212.36,933.8,True,True,True
2023-04-30 08:00:00,2009.91,873.93,True,True,True
2023-04-30 09:00:00,1876.23,772.15,True,True,True
2023-04-30 10:00:00,1823.58,737.11,True,True,True
